,target_id,symbol,log2FC,pvalue,padj,statistic,baseMean
27753,NM_014916.4,LMTK2,0.37855086,0.308709801,1,1.017932994,12.90778954
32279,NM_014917.4,NTNG1,NA,NA,NA,NA,0
11072,NM_014918.5,CHSY1,-0.029157722,0.882451736,1,-0.147861926,47.78640258
15498,NM_014921.5,ADGRL1,0.749564083,0.323996241,1,0.986278961,11.49661184
12685,NM_014922.5,NLRP1,0.826685599,0.902764416,1,0.122169961,0.063502483
8687,NM_014923.5,FNDC3A,0.004470704,0.986207341,1,0.017287396,36.77193205
9367,NM_014924.5,ATG14,-0.090317267,0.761631203,1,-0.303339425,21.34662831
7656,NM_014925.5,R3HDM2,-1.996401225,0.767194029,1,-0.296047209,0.095894056
37586,NM_014926.4,SLITRK3,NA,NA,NA,NA,0
40077,NM_014927.5,CNKSR2,NA,NA,NA,NA,0
16865,NM_014931.4,PPP6R1,0.603865089,0.32102939,1,0.99234473,22.78672071
37610,NM_014932.5,NLGN1,NA,NA,NA,NA,0
8819,NM_014934.5,DZIP1,-2.615982735,0.073154069,1,-1.791868277,1.756958051
3266,NM_014935.5,PLEKHA6,0.505226504,0.350307597,1,0.933992819,6.051730966
26109,NM_014936.5,ENPP4,-0.035099412,0.89637282,1,-0.130244713,29.74270763
4910,NM_014937.4,INPP5F,-0.187784537,0.464444573,1,-0.731547876,30.97952594
8271,NM_014938.6,MLXIP,0.305087754,0.431834921,1,0.786055588,25.39187151
12320,NM_014940.4,MON1B,0.522930054,0.638979509,1,0.469126093,8.495034524
20603,NM_014941.3,MORC2,0.184850931,0.710910837,1,0.370633084,8.522122367
26311,NM_014942.4,ANKRD6,-1.034625328,0.878063067,1,-0.153425081,0.321634318
29396,NM_014943.5,ZHX2,0.290065404,0.44622871,1,0.761717364,12.11686084
860,NM_014944.4,CLSTN1,0.211584635,0.704641594,1,0.37906231,5.932638074
1546,NM_014947.5,FOXJ3,-0.081808479,0.738945147,1,-0.333250572,36.44242901
19253,NM_014948.4,UBOX5,1.774557626,0.349675511,1,0.935218879,1.363405108
2756,NM_014949.4,KHDC4,0.181225448,0.204246498,1,1.269545711,148.9419339
