,targeet_id,symbol,log2FC,pvalue,padj,statistic,baseMean
5360,NM_002547.3,OPHN1,0.393774278,0.242525712,0.479151063,1.168697047,20.42109046
5361,NM_176818.3,GATC,0.210965261,0.242890839,0.479576933,1.167791596,72.96634151
5362,NM_017948.6,NOL8,0.270780168,0.242870136,0.479576933,1.167842909,45.37985989
5363,NM_015922.3,NSDHL,-0.312357005,0.242885046,0.479576933,-1.167805955,37.73981606
5364,NM_018848.3,MKKS,0.282241374,0.243092683,0.479707315,1.167291467,39.16910335
5365,NM_001134422.2,CDV3,0.284379087,0.243060604,0.479707315,1.167370933,42.06516577
5366,NM_001003396.3,TPD52L1,0.567025494,0.243092781,0.479707315,1.167291226,10.33654637
5367,NM_182616.4,ARPIN,-0.347073086,0.243261798,0.479772617,-1.16687266,27.72314675
5368,NM_001369486.1,LSM12,0.348752177,0.243215092,0.479772617,1.166988306,65.35575935
5369,NM_030915.4,LBH,-0.390144352,0.243253853,0.479772617,-1.166892333,24.66159255
5370,NM_002690.3,POLB,0.235593851,0.243310006,0.479778335,1.166753312,53.89309158
5371,NM_001227.5,CASP7,0.221875787,0.243419945,0.479905753,1.1664812,71.1395688
5372,NM_001316350.2,GNPAT,0.74367772,0.243635913,0.480192909,1.165946905,14.47006151
5373,NM_001288813.1,ARL17A,0.476557323,0.243697858,0.480192909,1.165793717,14.7326429
5374,NM_144963.4,FAM91A1,0.309949066,0.243701642,0.480192909,1.16578436,32.8227696
5375,NM_001371231.1,XRCC3,-0.640562915,0.243751845,0.480202472,-1.165660232,11.38023164
5376,NM_019012.6,PLEKHA5,0.361995635,0.244101161,0.48071177,1.164797032,24.9220829
5377,NM_001286751.2,MRPS27,1.510690153,0.244093266,0.48071177,1.164816531,26.41909766
5378,NM_001048200.3,HIPK3,0.440917621,0.244572463,0.481151735,1.163633762,15.81958665
5379,NM_016213.5,TRIP4,0.334903545,0.24470511,0.481151735,1.163306647,26.41506756
